26	14
13	192
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	1	1	1	1	1	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	1	1	1	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	1	1	1	1	1	5	4	1	6	7	8	
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	18	19	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	18	19	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	15	16	17	20	21	22	
23	23	23	23	23	23	23	23	24	25	23	23	23	23	23	26	27	28	29	30	31	23	24	25	23	23	23	23	23	26	27	28	29	30	31	23	32	33	33	33	33	33	34	35	36	37	23	23	23	23	23	23	23	23	24	25	23	26	27	28	29	30	31	23	23	23	23	23	38	39	33	33	33	37	40	41	42	33	33	33	33	37	23	26	27	28	29	30	31	23	23	23	24	25	23	23	23	26	27	28	43	44	45	33	33	33	33	33	33	37	23	46	47	48	49	23	23	23	38	39	33	37	23	23	23	23	23	26	27	28	29	30	31	23	23	23	23	23	40	41	50	23	23	23	23	23	23	23	23	46	47	48	49	23	23	23	23	23	23	23	23	23	23	23	51	52	25	23	23	23	23	23	23	26	27	28	29	30	31	23	23	23	23	23	23	23	40	41	50	53	54	55	
23	23	24	25	23	23	23	23	56	57	58	23	23	23	23	23	23	59	60	61	23	23	56	57	58	23	23	23	23	23	23	59	60	61	23	62	63	64	65	66	67	66	67	66	67	68	69	23	24	25	23	23	23	23	56	57	58	23	23	59	60	61	23	23	23	23	23	70	71	72	67	66	67	68	69	62	63	64	65	66	67	73	74	23	23	59	60	61	23	23	23	23	56	57	58	23	23	23	23	75	76	77	65	66	67	66	67	66	67	68	69	78	79	80	81	82	83	70	71	72	67	68	69	23	23	23	23	23	23	59	60	61	23	23	23	23	23	23	23	23	23	23	24	25	23	23	23	23	23	78	79	80	81	82	83	23	23	23	23	23	23	23	23	23	84	85	86	82	83	23	23	23	23	23	23	59	60	61	23	23	23	23	24	25	23	23	23	23	23	53	87	88	
23	46	47	48	49	23	23	23	40	41	50	23	23	23	23	23	23	23	23	23	23	23	40	41	50	23	32	33	33	33	33	33	33	33	33	89	90	91	92	93	94	93	94	93	94	95	96	46	47	48	49	23	23	23	40	41	50	23	32	37	23	23	24	25	23	23	23	97	98	99	94	93	94	95	96	53	100	91	92	93	101	102	103	33	33	33	33	33	33	33	33	33	34	35	36	33	33	33	33	89	90	91	92	93	94	93	94	93	94	95	96	26	27	28	29	30	31	97	98	99	94	95	96	23	23	23	23	23	23	23	23	23	23	23	32	33	33	33	33	37	23	46	47	48	49	23	23	23	23	26	27	28	29	30	31	23	23	23	24	25	23	23	23	26	27	28	29	30	31	23	32	33	33	33	33	33	33	33	33	37	23	46	47	48	49	23	23	23	23	53	54	55	
23	78	79	80	81	82	83	23	23	23	23	23	24	25	23	23	23	23	23	23	23	23	23	23	23	62	63	64	65	66	67	66	67	66	67	104	105	106	107	108	109	108	109	108	109	110	111	78	79	80	81	82	83	23	23	23	23	62	112	113	69	23	56	57	58	114	115	116	117	118	109	108	109	110	111	53	87	106	107	108	109	119	120	66	67	66	67	66	67	66	67	66	67	66	67	66	67	66	67	104	105	106	107	108	109	108	109	108	109	110	111	23	23	59	60	121	115	116	117	118	109	110	111	23	23	23	23	23	23	23	23	23	23	62	63	64	65	66	67	68	69	78	79	80	81	82	83	23	23	23	23	59	60	61	23	23	23	23	56	57	58	23	23	23	23	59	60	61	23	62	63	64	65	66	67	66	67	66	67	68	69	78	79	80	81	82	83	23	23	53	122	123	
23	26	27	28	29	30	31	23	23	23	23	46	47	48	49	23	32	33	33	33	33	33	33	33	33	89	90	91	92	93	94	93	94	93	94	124	125	126	127	126	127	126	127	126	128	129	111	26	27	28	29	30	31	23	32	37	23	53	130	131	96	23	40	41	50	23	132	133	134	135	127	126	128	136	111	137	138	139	127	126	140	141	142	143	144	93	94	93	94	93	94	93	145	146	147	143	144	93	94	124	125	126	127	126	127	126	127	126	128	148	149	24	23	23	23	24	132	150	134	135	128	129	111	24	32	37	23	23	32	33	33	33	33	89	90	91	92	93	94	95	96	26	27	28	29	30	151	33	33	37	23	23	23	23	23	23	32	33	34	35	36	37	23	23	23	23	32	33	33	89	90	91	92	93	94	93	94	93	94	95	96	26	27	28	29	30	31	23	23	152	153	154	
23	23	23	59	60	61	23	23	23	23	23	78	79	80	81	155	156	64	65	66	67	66	67	66	67	104	105	106	107	108	109	108	109	108	109	108	126	127	126	127	126	127	126	127	126	157	111	23	23	59	60	61	23	62	112	113	69	53	87	158	111	23	23	23	23	23	23	97	159	160	126	127	126	161	162	163	164	127	126	165	166	167	168	169	170	108	109	108	109	108	109	171	172	173	168	169	170	108	109	108	126	127	126	127	126	127	126	127	174	175	176	177	178	179	176	177	180	181	182	160	126	157	183	184	185	113	186	187	63	64	65	66	67	104	105	106	107	108	109	110	111	23	23	59	60	188	63	64	65	73	74	23	23	23	23	62	63	64	65	66	67	73	74	23	23	62	63	64	65	104	105	106	107	108	109	108	109	108	109	110	111	23	23	59	60	61	23	23	23	189	190	191	
33	33	33	33	33	33	33	33	33	33	33	192	193	194	195	196	197	91	92	93	94	93	94	93	94	124	125	126	127	126	127	126	127	126	127	126	127	126	127	126	127	126	127	126	128	129	111	23	23	24	32	37	23	198	130	131	96	198	87	199	200	33	33	33	33	33	33	201	202	135	127	126	140	203	204	205	206	207	208	209	210	211	212	213	214	126	140	215	216	207	208	209	210	211	212	213	214	126	140	215	216	215	216	215	216	207	208	217	218	219	220	221	222	223	224	225	226	227	228	135	128	229	230	231	232	233	234	235	236	91	92	93	94	124	125	126	127	126	128	129	200	33	33	33	33	89	90	91	237	102	103	33	33	33	33	89	90	91	92	93	101	102	103	33	33	89	90	91	92	124	125	126	127	126	127	126	127	126	128	129	111	23	23	24	32	33	33	33	33	238	239	240	
