72,25,224,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,3,3,3,3,4,5,6,7,3,3,8,9,3,3,3,3,3,3,3,3,3,3,8,9,4,5,6,7,3,3,3,3,3,3,3,3,3,3,8,3,8,9,3,3,3,3,3,3,3,3,8,9,3,3,3,3,3,3,3,3,3,3,3,3,8,3,8,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,8,9,3,3,3,3,3,3,4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,8,9,3,3,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,12,3,3,3,3,8,3,8,9,3,3,3,3,8,3,8,9,3,3,3,3,3,3,8,3,8,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,8,9,3,3,3,3,3,3,8,3,8,9,3,3,3,3,13,1,
1,2,3,3,3,3,14,15,16,17,3,3,18,19,3,3,3,3,20,6,3,3,3,3,18,19,14,15,16,17,3,3,3,3,3,3,3,3,3,3,21,22,23,24,3,3,3,3,3,3,3,3,18,19,20,6,3,3,3,3,3,3,3,3,3,3,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,22,23,24,3,3,3,3,3,3,14,15,16,17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,22,23,24,3,3,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,26,27,3,3,3,3,21,22,23,24,3,3,3,3,21,22,23,24,3,3,3,3,3,3,21,22,23,24,3,3,3,3,3,3,3,3,20,6,3,3,3,3,21,22,23,24,3,3,3,3,3,3,21,22,23,24,3,3,3,3,28,1,
1,2,8,9,3,3,3,3,8,3,8,9,3,3,8,9,3,3,4,5,6,7,3,3,3,3,3,3,8,3,8,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,7,3,3,8,9,3,3,3,3,3,3,3,3,3,3,4,5,6,7,3,3,8,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,3,3,3,3,18,19,29,30,31,32,32,33,34,32,32,33,34,32,33,35,36,37,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,38,39,40,41,18,19,3,3,4,5,6,7,3,3,3,3,3,3,3,3,8,9,3,3,3,3,3,3,8,3,8,9,3,3,8,9,4,5,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,1,
1,2,23,24,3,3,3,3,21,22,23,24,3,3,18,19,3,3,14,15,16,17,3,3,3,3,3,3,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,15,16,17,3,3,18,19,3,3,3,3,3,3,3,3,3,3,14,15,16,17,3,3,18,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,19,3,3,3,3,37,36,42,42,43,44,44,44,45,44,44,44,45,44,46,47,48,49,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,39,38,42,42,37,36,3,3,14,15,16,17,3,3,3,3,3,3,3,3,18,19,3,3,3,3,3,3,21,22,23,24,3,3,18,19,14,15,16,17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,28,1,
1,2,18,19,18,19,36,37,40,41,29,30,29,30,29,30,40,41,40,41,18,19,36,37,29,30,31,32,34,32,33,35,40,41,18,19,36,37,40,41,18,19,29,30,18,19,3,3,3,3,3,3,8,9,3,3,8,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,29,30,31,32,32,33,34,32,32,33,34,32,33,35,40,41,18,19,36,37,18,19,29,30,40,41,36,37,38,39,38,39,38,39,50,51,18,19,40,41,29,30,38,39,38,39,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,38,39,38,39,38,39,40,41,18,19,18,19,36,37,18,19,29,30,29,30,29,30,52,32,33,32,33,32,33,32,33,53,36,37,40,41,36,37,18,19,29,30,29,30,29,30,36,37,18,19,18,19,29,30,18,19,18,19,36,37,13,1,
1,2,37,36,37,36,48,49,42,42,42,42,42,42,42,42,42,42,42,42,37,36,48,49,42,42,43,44,45,44,46,47,42,42,37,36,48,49,42,42,37,36,42,42,37,36,3,3,3,3,20,6,18,19,3,3,18,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,42,43,44,44,44,45,44,44,44,45,44,46,47,42,42,37,36,48,49,37,36,42,42,42,42,48,49,39,38,39,38,39,38,11,12,37,36,42,42,42,42,39,38,39,38,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,39,38,39,38,39,38,42,42,37,36,37,36,48,49,37,36,42,42,42,42,42,42,13,1,1,1,1,1,1,1,1,1,48,49,42,42,48,49,37,36,42,42,42,42,42,42,48,49,37,36,37,36,42,42,37,36,37,36,48,49,28,1,
1,54,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,50,51,38,39,38,39,31,32,34,32,33,35,38,39,38,39,38,39,40,41,52,32,33,32,33,32,33,32,33,53,18,19,36,37,29,30,40,41,18,19,18,19,3,3,3,3,55,56,36,37,38,39,38,39,50,51,38,39,38,39,50,51,38,39,38,39,31,32,32,33,34,32,33,35,38,39,38,39,38,39,38,39,38,39,11,12,38,39,57,58,38,39,38,39,38,39,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,38,39,38,39,57,58,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,13,1,1,1,1,1,1,1,1,1,38,39,31,32,32,33,34,32,32,33,34,32,33,35,38,39,59,58,38,39,38,39,38,39,38,39,38,39,60,1,
1,61,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,11,12,39,38,39,38,43,44,45,44,46,47,39,38,39,38,39,38,42,42,13,1,1,1,1,1,1,1,1,1,37,36,48,49,42,42,42,42,37,36,37,36,3,3,3,3,11,12,48,49,39,38,39,38,11,12,39,38,39,38,11,12,39,38,39,38,43,44,44,44,45,44,46,47,39,38,39,38,39,38,39,38,39,38,11,12,39,38,62,12,39,38,39,38,39,38,63,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,39,38,39,38,62,12,39,38,39,38,39,38,39,38,39,38,39,38,39,38,39,38,28,1,1,1,1,1,1,1,1,1,39,38,43,44,44,44,45,44,44,44,45,44,46,47,39,38,11,12,39,38,39,38,39,38,39,38,39,38,64,1,
