61,11,16,
0,1,2,3,4,5,6,5,7,7,7,7,7,7,2,8,
8,2,2,3,4,9,6,4,9,6,10,11,10,11,2,0,
8,2,12,13,14,14,15,14,14,15,16,17,16,17,2,8,
8,12,18,19,20,20,21,20,22,21,23,24,23,24,2,0,
0,18,25,26,27,28,29,30,31,32,33,34,33,34,35,8,
36,25,37,38,39,40,41,42,43,44,44,45,44,45,46,36,
47,48,49,50,27,28,51,42,52,52,52,52,52,52,0,53,
53,37,38,50,39,40,50,50,50,50,50,50,50,50,54,47,
47,49,50,50,50,50,50,50,50,55,50,50,50,41,56,53,
57,38,50,50,50,50,50,50,58,50,50,50,50,30,59,60,
50,55,50,50,50,55,50,50,27,28,50,50,41,42,42,42,
