84,13,193,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,3,4,4,5,3,4,4,5,3,4,4,5,3,4,4,5,6,2,7,1,8,9,8,9,8,9,8,9,1,2,10,11,12,10,10,11,6,2,7,1,1,1,1,1,1,1,8,9,1,1,8,9,1,2,4,5,3,4,6,2,7,1,1,1,8,9,1,1,8,9,1,2,4,5,3,4,4,5,3,4,4,5,3,4,4,5,6,2,7,1,1,2,7,1,1,1,8,9,1,1,1,1,8,9,1,1,8,9,1,2,3,4,4,5,3,4,4,5,6,2,1,1,8,9,8,9,1,1,1,1,1,1,13,1,13,1,1,13,1,1,1,2,4,5,3,4,4,5,3,4,4,5,3,4,4,5,6,2,8,9,1,2,3,4,4,5,3,4,4,5,6,2,14,2,4,5,3,4,4,5,3,4,4,5,3,4,6,2,15,16,0,
1,2,17,18,18,19,17,18,18,19,17,18,18,19,17,18,18,19,20,2,7,1,21,7,22,7,22,7,21,7,1,2,23,24,25,23,23,24,20,2,7,1,1,1,1,1,1,1,22,7,1,1,21,7,1,2,18,19,17,18,20,2,7,1,1,1,22,7,1,1,21,7,1,2,18,19,17,18,18,19,17,18,18,19,17,18,18,19,20,2,7,1,1,2,7,1,1,1,21,7,1,1,1,1,22,7,1,1,21,7,1,2,17,18,18,19,17,18,18,19,20,2,1,1,21,7,22,7,1,1,1,1,26,27,28,27,28,27,28,29,1,1,1,2,18,19,17,18,18,19,17,18,18,19,17,18,18,19,20,2,21,7,1,2,17,18,18,19,17,18,18,19,20,2,1,2,18,19,17,18,18,19,17,18,18,19,17,18,20,2,15,16,0,
1,2,12,10,10,11,12,10,10,11,12,10,10,11,12,10,10,11,15,2,7,1,1,1,1,1,1,1,1,1,1,2,30,30,30,30,30,30,15,2,1,31,7,1,26,27,28,27,28,27,28,29,7,1,1,2,10,11,12,32,15,2,33,34,34,34,34,34,34,34,34,34,14,2,10,11,12,32,10,11,12,32,10,11,12,32,10,11,15,2,7,1,1,2,7,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,2,12,10,10,11,12,32,10,11,15,2,1,1,1,1,1,1,1,31,7,1,35,1,1,1,1,1,1,2,7,1,1,2,10,11,12,10,10,11,12,10,10,11,12,10,10,11,15,2,7,1,1,2,12,10,10,11,12,10,10,11,15,2,1,2,10,11,12,32,10,11,12,32,10,11,12,32,15,2,15,16,0,
13,2,25,23,23,24,25,23,23,24,25,23,23,24,25,23,23,24,15,2,7,1,1,1,1,1,1,1,1,1,13,2,36,37,36,37,36,37,15,2,1,38,7,1,39,40,40,40,40,40,40,41,7,1,1,2,23,24,25,42,15,2,1,1,1,1,1,1,1,1,1,1,1,2,23,24,25,42,23,24,25,42,23,24,25,42,23,24,15,2,7,1,1,2,7,1,1,1,1,1,1,1,1,1,26,27,28,29,1,1,13,2,25,23,23,24,25,42,23,24,15,2,1,1,1,1,1,1,1,38,7,1,43,1,1,1,1,1,1,2,7,1,1,2,23,24,25,23,23,24,25,23,23,24,25,23,23,24,15,2,7,1,1,2,25,23,23,24,25,23,23,24,15,2,1,2,23,24,25,42,23,24,25,42,23,24,25,42,15,2,15,16,0,
1,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,44,2,33,34,34,34,34,34,34,34,34,34,14,2,45,46,45,46,45,46,44,2,1,1,1,1,47,48,48,49,47,48,48,49,1,1,1,2,30,30,30,31,44,2,1,1,13,1,13,1,1,13,1,1,1,2,30,30,30,31,30,30,30,31,30,30,30,31,30,30,44,2,7,1,1,2,13,1,1,13,1,1,1,31,7,1,35,1,1,2,7,1,1,2,45,46,45,46,30,31,30,30,44,2,1,1,26,29,7,1,1,31,7,1,43,1,8,9,8,9,1,2,7,1,1,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,44,2,33,34,14,2,30,30,30,30,30,30,30,30,44,2,14,2,30,30,30,31,30,30,30,31,30,30,30,31,44,2,15,16,0,
13,2,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,15,2,1,1,1,1,1,1,1,1,1,1,1,2,50,51,50,51,50,51,15,2,1,1,1,1,52,53,54,55,52,53,54,55,1,1,13,2,36,37,36,38,15,2,26,27,28,27,28,27,28,29,1,1,13,2,36,37,36,38,36,37,36,38,36,37,36,38,36,37,15,2,7,1,13,2,28,27,28,29,1,1,1,38,7,1,43,1,1,2,7,1,1,2,50,51,50,51,36,38,36,37,15,2,1,1,39,41,7,1,1,38,7,1,43,1,22,7,21,7,1,2,7,1,1,2,36,37,36,37,36,37,36,37,36,37,36,37,36,37,15,2,1,1,1,2,36,37,36,37,36,37,36,37,15,2,1,2,36,37,36,38,36,37,36,38,36,37,36,38,15,2,56,16,0,
1,2,45,46,45,46,45,46,45,46,45,46,45,46,45,46,45,46,15,2,7,1,8,9,1,1,8,9,1,1,1,2,45,46,45,46,45,46,15,2,7,1,26,29,57,57,58,59,57,57,58,59,1,1,1,2,45,46,45,60,15,2,35,1,47,48,48,49,1,2,7,1,1,2,45,46,45,60,45,46,45,60,45,46,45,60,45,46,15,2,33,34,34,34,34,34,14,2,7,1,1,1,1,1,43,1,1,2,7,1,1,2,45,46,45,46,45,60,45,46,15,2,1,1,1,1,1,1,1,1,1,1,43,1,47,48,48,49,1,2,7,1,1,2,45,46,45,46,45,46,45,46,45,46,45,46,45,46,15,2,7,1,1,2,45,46,45,46,45,46,45,46,15,2,1,2,45,46,45,60,45,46,45,60,45,46,45,60,15,2,61,16,0,
13,2,50,51,50,51,50,51,50,51,50,51,50,51,50,51,50,51,62,2,7,1,22,7,1,1,21,7,1,1,1,2,50,51,50,51,50,51,62,2,7,1,39,41,63,63,64,65,63,63,64,65,1,1,1,2,50,51,50,66,62,2,43,1,52,53,54,55,1,2,7,1,1,2,50,51,50,66,50,51,50,66,50,51,50,66,50,51,62,2,1,1,1,1,1,1,1,2,7,1,1,1,1,1,43,1,1,2,7,1,13,67,50,51,50,51,50,66,50,51,62,2,1,1,1,1,1,1,1,1,1,1,43,1,52,53,54,55,1,2,7,1,1,2,50,51,50,51,50,51,50,51,50,51,50,51,50,51,62,2,7,1,1,2,50,51,50,51,50,51,50,51,62,2,1,2,50,51,50,66,50,51,50,66,50,51,50,66,62,2,68,16,0,
